original_page,shuffled_page
1,72
2,121
3,139
4,61
5,48
6,33
7,111
8,64
9,106
10,118
11,11
12,100
13,65
14,66
15,117
16,113
17,90
18,99
19,58
20,141
21,34
22,112
23,109
24,53
25,127
26,135
27,28
28,110
29,73
30,81
31,83
32,46
33,107
34,116
35,62
36,57
37,74
38,39
39,9
40,124
41,75
42,36
43,125
44,16
45,63
46,22
47,88
48,17
49,93
50,101
51,137
52,54
53,146
54,43
55,80
56,31
57,92
58,142
59,13
60,105
61,130
62,114
63,1
64,7
65,131
66,25
67,136
68,95
69,12
70,97
71,133
72,128
73,44
74,59
75,6
76,20
77,2
78,84
79,51
80,143
81,50
82,122
83,19
84,27
85,132
86,60
87,40
88,30
89,102
90,42
91,67
92,126
93,68
94,77
95,104
96,103
97,69
98,134
99,47
100,29
101,91
102,45
103,14
104,129
105,120
106,86
107,32
108,98
109,79
110,37
111,144
112,8
113,78
114,10
115,49
116,82
117,52
118,56
119,41
120,21
121,55
122,140
123,119
124,87
125,35
126,5
127,138
128,89
129,15
130,38
131,123
132,96
133,71
134,23
135,76
136,108
137,70
138,147
139,24
140,4
141,18
142,26
143,115
144,94
145,145
146,85
147,3
